"","Longitud","Lance","Composicion_porcentaje"
"1","2-4.5","1",0
"2","5-8","1",0
"3","8.5-11.5","1",21.5
"4","12-14.5","1",78.5
"5","15-20","1",0
"6","2-4.5","2",0
"7","5-8","2",0
"8","8.5-11.5","2",5
"9","12-14.5","2",94.5
"10","15-20","2",0.5
"11","2-4.5","3",0
"12","5-8","3",0.5
"13","8.5-11.5","3",28
"14","12-14.5","3",71.5
"15","15-20","3",0
"16","2-4.5","4",0
"17","5-8","4",41
"18","8.5-11.5","4",59
"19","12-14.5","4",0
"20","15-20","4",0
"21","2-4.5","5",6.5
"22","5-8","5",10.5
"23","8.5-11.5","5",75.5
"24","12-14.5","5",7.5
"25","15-20","5",0
"26","2-4.5","6",0
"27","5-8","6",46
"28","8.5-11.5","6",54
"29","12-14.5","6",0
"30","15-20","6",0
"31","2-4.5","7",0
"32","5-8","7",0
"33","8.5-11.5","7",11.5
"34","12-14.5","7",88.5
"35","15-20","7",0
"36","2-4.5","8",0
"37","5-8","8",0
"38","8.5-11.5","8",0
"39","12-14.5","8",92
"40","15-20","8",8
"41","2-4.5","9",0
"42","5-8","9",13.5
"43","8.5-11.5","9",86.5
"44","12-14.5","9",0
"45","15-20","9",0
"46","2-4.5","10",0
"47","5-8","10",0
"48","8.5-11.5","10",2
"49","12-14.5","10",97
"50","15-20","10",1
"51","2-4.5","11",0
"52","5-8","11",97
"53","8.5-11.5","11",3
"54","12-14.5","11",0
"55","15-20","11",0
"56","2-4.5","12",0
"57","5-8","12",76.5
"58","8.5-11.5","12",7
"59","12-14.5","12",10.5
"60","15-20","12",6
"61","2-4.5","13",0
"62","5-8","13",5.5
"63","8.5-11.5","13",91.5
"64","12-14.5","13",3
"65","15-20","13",0
"66","2-4.5","16",0
"67","5-8","16",0
"68","8.5-11.5","16",0
"69","12-14.5","16",77.5
"70","15-20","16",22.5
"71","2-4.5","17",0
"72","5-8","17",3.5
"73","8.5-11.5","17",6
"74","12-14.5","17",82
"75","15-20","17",8.5
"76","2-4.5","18",0
"77","5-8","18",18.75
"78","8.5-11.5","18",31.25
"79","12-14.5","18",50
"80","15-20","18",0
